variablename,producttype,dataset,profile,category,_order,relation,unittype
Age95,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),277,MdAge,basic
Age96,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),278,MdAge,basic
Age97,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),279,MdAge,basic
Age98,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),280,MdAge,basic
Age99,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),281,MdAge,basic
Age100t104,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),282,MdAge,basic
Age105t109,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),283,MdAge,basic
Age110pl,Decennial,"2000, 2010",Census,Median Age (All geogs except blocks),284,MdAge,basic
AgeU5,Decennial,"2000, 2010",Census,Median Age (for blocks only),285,MdAge,basic
Age5t9,Decennial,"2000, 2010",Census,Median Age (for blocks only),286,MdAge,basic
Age10t14,Decennial,"2000, 2010",Census,Median Age (for blocks only),287,MdAge,basic
Age15t17,Decennial,"2000, 2010",Census,Median Age (for blocks only),288,MdAge,basic
Age18t19,Decennial,"2000, 2010",Census,Median Age (for blocks only),289,MdAge,basic
Age20_2,Decennial,"2000, 2010",Census,Median Age (for blocks only),290,MdAge,basic
Age21_2,Decennial,"2000, 2010",Census,Median Age (for blocks only),291,MdAge,basic
Age22t24,Decennial,"2000, 2010",Census,Median Age (for blocks only),292,MdAge,basic
Age25t29,Decennial,"2000, 2010",Census,Median Age (for blocks only),293,MdAge,basic
Age30t34,Decennial,"2000, 2010",Census,Median Age (for blocks only),294,MdAge,basic
Age35t39,Decennial,"2000, 2010",Census,Median Age (for blocks only),295,MdAge,basic
Age40t44,Decennial,"2000, 2010",Census,Median Age (for blocks only),296,MdAge,basic
Age45t49,Decennial,"2000, 2010",Census,Median Age (for blocks only),297,MdAge,basic
Age50t54,Decennial,"2000, 2010",Census,Median Age (for blocks only),298,MdAge,basic
Age55t59,Decennial,"2000, 2010",Census,Median Age (for blocks only),299,MdAge,basic
Age60t61,Decennial,"2000, 2010",Census,Median Age (for blocks only),300,MdAge,basic
Age62t64,Decennial,"2000, 2010",Census,Median Age (for blocks only),301,MdAge,basic
Age65t66,Decennial,"2000, 2010",Census,Median Age (for blocks only),302,MdAge,basic
Age67t69,Decennial,"2000, 2010",Census,Median Age (for blocks only),303,MdAge,basic
Age70t74,Decennial,"2000, 2010",Census,Median Age (for blocks only),304,MdAge,basic
Age75t79,Decennial,"2000, 2010",Census,Median Age (for blocks only),305,MdAge,basic
Age80t84,Decennial,"2000, 2010",Census,Median Age (for blocks only),306,MdAge,basic
Age85pl,Decennial,"2000, 2010",Census,Median Age (for blocks only),307,MdAge,basic
MPop0t5,Decennial,"2000, 2010",Census,PopPyramid Only,308,Pop1,basic
MPop5t9,Decennial,"2000, 2010",Census,PopPyramid Only,309,Pop1,basic
MPop10t14,Decennial,"2000, 2010",Census,PopPyramid Only,310,Pop1,basic
MPop15t19,Decennial,"2000, 2010",Census,PopPyramid Only,311,Pop1,basic
MPop20t24,Decennial,"2000, 2010",Census,PopPyramid Only,312,Pop1,basic
MPop25t29,Decennial,"2000, 2010",Census,PopPyramid Only,313,Pop1,basic
MPop30t34,Decennial,"2000, 2010",Census,PopPyramid Only,314,Pop1,basic
MPop35t39,Decennial,"2000, 2010",Census,PopPyramid Only,315,Pop1,basic
MPop40t44,Decennial,"2000, 2010",Census,PopPyramid Only,316,Pop1,basic
MPop45t49,Decennial,"2000, 2010",Census,PopPyramid Only,317,Pop1,basic
MPop50t54,Decennial,"2000, 2010",Census,PopPyramid Only,318,Pop1,basic
MPop55t59,Decennial,"2000, 2010",Census,PopPyramid Only,319,Pop1,basic
MPop60t64,Decennial,"2000, 2010",Census,PopPyramid Only,320,Pop1,basic
MPop65t69,Decennial,"2000, 2010",Census,PopPyramid Only,321,Pop1,basic
MPop70t74,Decennial,"2000, 2010",Census,PopPyramid Only,322,Pop1,basic
MPop75t79,Decennial,"2000, 2010",Census,PopPyramid Only,323,Pop1,basic
MPop80t84,Decennial,"2000, 2010",Census,PopPyramid Only,324,Pop1,basic
MPop85pl,Decennial,"2000, 2010",Census,PopPyramid Only,325,Pop1,basic
FPop0t5,Decennial,"2000, 2010",Census,PopPyramid Only,326,Pop1,basic
FPop5t9,Decennial,"2000, 2010",Census,PopPyramid Only,327,Pop1,basic
FPop10t14,Decennial,"2000, 2010",Census,PopPyramid Only,328,Pop1,basic
FPop15t19,Decennial,"2000, 2010",Census,PopPyramid Only,329,Pop1,basic
FPop20t24,Decennial,"2000, 2010",Census,PopPyramid Only,330,Pop1,basic
FPop25t29,Decennial,"2000, 2010",Census,PopPyramid Only,331,Pop1,basic
FPop30t34,Decennial,"2000, 2010",Census,PopPyramid Only,332,Pop1,basic
FPop35t39,Decennial,"2000, 2010",Census,PopPyramid Only,333,Pop1,basic
FPop40t44,Decennial,"2000, 2010",Census,PopPyramid Only,334,Pop1,basic
FPop45t49,Decennial,"2000, 2010",Census,PopPyramid Only,335,Pop1,basic
FPop50t54,Decennial,"2000, 2010",Census,PopPyramid Only,336,Pop1,basic
FPop55t59,Decennial,"2000, 2010",Census,PopPyramid Only,337,Pop1,basic
FPop60t64,Decennial,"2000, 2010",Census,PopPyramid Only,338,Pop1,basic
FPop65t69,Decennial,"2000, 2010",Census,PopPyramid Only,339,Pop1,basic
FPop70t74,Decennial,"2000, 2010",Census,PopPyramid Only,340,Pop1,basic
FPop75t79,Decennial,"2000, 2010",Census,PopPyramid Only,341,Pop1,basic
FPop80t84,Decennial,"2000, 2010",Census,PopPyramid Only,342,Pop1,basic
FPop85pl,Decennial,"2000, 2010",Census,PopPyramid Only,343,Pop1,basic
